team_code,year,prev_bullpen_era,prev_bullpen_whip,prev_bullpen_hr9,prev_bullpen_kbb,prev_bullpen_ops
1001,2024,5.129472999349383,1.540013012361744,1.0364346128822384,1.6457399103139014,165.51724137931038
1001,2025,4.875,1.5352564102564104,1.0528846153846154,1.6992753623188406,165.22435897435898
1001,2026,4.377183406113537,1.3968340611353713,1.0021834061135373,2.279835390946502,150.8187772925764
2002,2024,3.8135593220338984,1.433145009416196,0.559322033898305,1.400749063670412,149.52919020715632
2002,2025,4.835388739946381,1.5378016085790887,1.1002680965147453,1.8300653594771241,166.00536193029492
2002,2026,5.152671755725191,1.5458015267175573,0.8931297709923665,1.736842105263158,164.50381679389312
3001,2024,4.6,1.5575757575757576,0.6727272727272727,1.7379032258064515,163.23232323232324
3001,2025,5.375326370757181,1.6742819843342038,0.9516971279373369,1.6961538461538461,178.00261096605746
3001,2026,4.599369085173502,1.4479495268138802,0.8517350157728708,2.050632911392405,154.25867507886437
5002,2024,3.4390243902439024,1.3642276422764228,0.48292682926829267,1.8601398601398602,141.78861788617888
5002,2025,5.032632743362832,1.5680309734513276,1.045353982300885,1.7558528428093645,168.41814159292036
5002,2026,4.189655172413793,1.4482758620689655,0.6650246305418719,1.7275985663082438,152.21674876847288
6002,2024,4.486153846153846,1.4990769230769232,0.6147692307692308,1.6463878326996197,156.73846153846156
6002,2025,4.4853896103896105,1.5876623376623376,0.862012987012987,1.7403846153846154,168.34415584415586
6002,2026,4.270588235294118,1.464705882352941,0.7588235294117647,1.792828685258964,154.90196078431373
7002,2024,4.278275475923852,1.4277715565509517,0.5593505039193729,1.7098976109215016,148.99216125419932
7002,2025,5.072818232351307,1.5458588104502502,0.8554752640355754,1.9097472924187726,164.09116175653142
7002,2026,3.9892933618843687,1.4197002141327624,0.7949678800856531,2.158671586715867,150.8029978586724
9002,2024,4.219760479041916,1.6005988023952098,0.6790419161676647,1.4885245901639343,167.6047904191617
9002,2025,5.171213000580384,1.6157864190365643,1.159605339524086,1.6571428571428573,174.46314567614627
9002,2026,3.4313408723747982,1.2778675282714056,0.81421647819063,2.0833333333333335,136.8336025848142
10001,2024,4.825752722613709,1.6335682254964765,0.6053811659192825,1.361216730038023,170.0832799487508
10001,2025,6.019329896907216,1.6391752577319587,1.130798969072165,1.4229249011857708,176.4819587628866
10001,2026,5.790361445783132,1.6789156626506023,1.0897590361445781,1.3873239436619718,179.99999999999997
11001,2024,4.01216287678477,1.3833950290851402,0.7139079851930197,1.7377049180327868,146.27181385510312
11001,2025,5.348602022605593,1.6168947055324214,0.8834027364663892,1.669064748201439,171.5050565139798
11001,2026,4.487935656836461,1.5249329758713137,0.868632707774799,1.4396551724137931,162.14477211796248
12001,2024,4.127187864644108,1.3757292882147025,0.7246207701283548,1.9658536585365853,145.62427071178533
12001,2025,4.773087071240106,1.4643799472295516,0.8263852242744064,2.3391304347826085,155.62005277044858
12001,2026,4.40625,1.4729166666666667,0.88125,1.9897435897435898,157.08333333333334
